0	x o ŋ͡m 1
nưng	n ɯ ŋ 1
nứng	n ɯ ŋ 5
nừng	n ɯ ŋ 2
nựng	n ɯ ŋ 6
nuốc	n uə k 5
nuộc	n uə k 6
nước	n ɯə k 5
nược	n ɯə k 6
nuôi	n uə j 1
nuối	n uə j 5
nuốm	n uə m 5
nườm	n ɯə m 2
nuông	n uə ŋ 1
nương	n ɯə ŋ 1
nướng	n ɯə ŋ 5
nường	n ɯə ŋ 2
nượp	n ɯə p 6
nuốt	n uə t 5
nuột	n uə t 6
núp	n u p 5
nút	n u t 5
nứt	n ɯ t 5
o	ɔ 1
ó	ɔ 5
ò	ɔ 2
ô	o 1
ố	o 5
ồ	o 2
ơ	ɤ 1
ổ	o 4
ọ	ɔ 6
ớ	ɤ 5
ờ	ɤ 2
ộ	o 6
ở	ɤ 4
ợ	ɤ 6
oa	w ʷa 1
oà	w ʷa 2
òa	w ʷa 2
oác	w ʷa k 5
oách	w ʷa tʃ 5
oạch	w ʷa tʃ 6
oai	w a j 1
oái	w a j 5
oải	w a j 4
oại	w a j 6
oàm	w ʷa m 2
oăm	w ʷă m 1
oan	w ʷa n 1
oán	w ʷa n 5
oằn	w ʷă n 2
oản	w ʷa n 4
oẳn	w ʷă n 4
oang	w ʷa ŋ 1
oàng	w ʷa ŋ 2
oăng	w ʷă ŋ 1
oẳng	w ʷă ŋ 4
oanh	w ʷa ɲ 1
oánh	w ʷa ɲ 5
oành	w ʷa ɲ 2
oạp	w ʷa p 6
oát	w ʷa t 5
oắt	w ʷă t 5
oặt	w ʷă t 6
óc	ɔ k͡p 5
ốc	o k͡p 5
ọc	ɔ k͡p 6
ộc	o k͡p 6
oe	w ʷɛ 1
oé	w ʷɛ 5
oẻ	w ʷɛ 4
oẹ	w ʷɛ 6
óe	w ʷɛ 5
ọe	w ʷɛ 6
oi	ɔ j 1
ói	ɔ j 5
òi	ɔ j 2
ôi	o j 1
ối	o j 5
ỏi	ɔ j 4
ơi	ɤ j 1
ổi	o j 4
ọi	ɔ j 6
ới	ɤ j 5
om	ɔ m 1
òm	ɔ m 2
ôm	o m 1
ốm	o m 5
ồm	o m 2
ỏm	ɔ m 4
ớm	ɤ m 5
ỡm	ɤ m 3
ôn	o n 1
ồn	o n 2
ỏn	ɔ n 4
ơn	ɤ n 1
ổn	o n 4
ớn	ɤ n 5
ộn	o n 6
ong	ɔ ŋ͡m 1
óng	ɔ ŋ͡m 5
òng	ɔ ŋ͡m 2
ông	o ŋ͡m 1
õng	ɔ ŋ͡m 3
ống	o ŋ͡m 5
ồng	o ŋ͡m 2
ỏng	ɔ ŋ͡m 4
ổng	o ŋ͡m 4
óp	ɔ p 5
ốp	o p 5
ọp	ɔ p 6
ộp	o p 6
ót	ɔ t 5
ốt	o t 5
ọt	ɔ t 6
ớt	ɤ t 5
ợt	ɤ t 6
oxi	o 1   s i 1
oxy	o 1   s i 1
p	p i ' 5
pa	p a 1
pạ	b a 6
pác	p a k 5
palăng	p a l ă n g
pan	p a n 1
pao	p a w 1
páp	p a p 5
pát	p a t 5
patch	p æ ʧ ' 5
pe	p ɛ 1
pê	p e 1
pen	p ɛ n 1
pha	f a 1
phá	f a 5
phà	f a 2
phả	f a 4
phác	f a k 5
phắc	f ă k 5
phạc	f a k 6
phách	f a tʃ 5
phạch	f a tʃ 6
phai	f a j 1
phái	f a j 5
phải	f a j 4
phàm	f a m 2
phăm	f ă m 1
phầm	f ɤ̆ m 2
phẩm	f ɤ̆ m 4
phạm	f a m 6
phan	f a n 1
phán	f a n 5
phàn	f a n 2
phân	f ɤ̆ n 1
phăn	f ă n 1
phấn	f ɤ̆ n 5
phần	f ɤ̆ n 2
phắn	f ă n 5
phẫn	f ɤ̆ n 3
phản	f a n 4
phẩn	f ɤ̆ n 4
phạn	f a n 6
phận	f ɤ̆ n 6
phang	f a ŋ 1
phàng	f a ŋ 2
phăng	f ă ŋ 1
phảng	f a ŋ 4
phẳng	f ă ŋ 4
phạng	f a ŋ 6
phanh	f ɛ ɲ 1
phành	f ɛ ɲ 2
phao	f a w 1
pháo	f a w 5
phào	f a w 2
pháp	f a p 5
phấp	f ɤ̆ p 5
phắp	f ă p 5
phập	f ɤ̆ p 6
phát	f a t 5
phất	f ɤ̆ t 5
phắt	f ă t 5
phạt	f a t 6
phật	f ɤ̆ t 6
phau	f ă w 1
phẫu	f ɤ̆ w 3
phẩu	f ɤ̆ w 4
phay	f ă j 1
phây	f ɤ̆ j 1
phảy	f ă j 4
phẩy	f ɤ̆ j 4
phe	f ɛ 1
phè	f ɛ 2
phê	f e 1
phế	f e 5
phề	f e 2
phệ	f e 6
phếch	f e tʃ 5
phen	f ɛ n 1
phèn	f ɛ n 2
phên	f e n 1
phễn	f e n 3
phéng	f ɛ ŋ 5
phèng	f ɛ ŋ 2
phềnh	f e ɲ 2
phệnh	f e ɲ 6
pheo	f eo 1
phèo	f eo 2
phép	f ɛ p 5
phét	f ɛ t 5
phết	f e t 5
phẹt	f ɛ t 6
phệt	f e t 6
phều	f ɛu 2
phễu	f ɛu 3
phi	f i 1
phí	f i 5
phì	f i 2
phỉ	f i 4
phị	f i 6
phía	f iə 5
phìa	f iə 2
phịa	f iə 6
phích	f i tʃ 5
phịch	f i tʃ 6
phiếm	f iə m 5
phiên	f iə n 1
phiến	f iə n 5
phiền	f iə n 2
phiện	f iə n 6
phiết	f iə t 5
phiệt	f iə t 6
phiêu	f iə w 1
phiếu	f iə w 5
phim	f i m 1
phím	f i m 5
phin	f i n 1
phìn	f i n 2
phinh	f i ɲ 1
phính	f i ɲ 5
phình	f i ɲ 2
phĩnh	f i ɲ 3
phỉnh	f i ɲ 4
phịt	f i t 6
phiu	f i w 1
phịu	f i w 6
pho	f ɔ 1
phó	f ɔ 5
phò	f ɔ 2
phô	f o 1
phố	f o 5
phồ	f o 2
phơ	f ɤ 1
phổ	f o 4
phớ	f ɤ 5
phờ	f ɤ 2
phở	f ɤ 4
phóc	f ɔ k͡p 5
phốc	f o k͡p 5
phoi	f ɔ j 1
phòi	f ɔ j 2
phôi	f o j 1
phối	f o j 5
phơi	f ɤ j 1
phổi	f o j 4
phới	f ɤ j 5
phom	f ɔ m 1
phôm	f o m 1
phồm	f o m 2
phồn	f o n 2
phơn	f ɤ n 1
phỡn	f ɤ n 3
phong	f ɔ ŋ͡m 1
phóng	f ɔ ŋ͡m 5
phòng	f ɔ ŋ͡m 2
phông	f o ŋ͡m 1
phồng	f o ŋ͡m 2
phỗng	f o ŋ͡m 3
phỏng	f ɔ ŋ͡m 4
phổng	f o ŋ͡m 4
phọng	f ɔ ŋ͡m 6
phộng	f o ŋ͡m 6
phốp	f o p 5
phót	f ɔ t 5
phốt	f o t 5
phọt	f ɔ t 6
phớt	f ɤ t 5
phu	f u 1
phú	f u 5
phù	f u 2
phũ	f u 3
phủ	f u 4
phụ	f u 6
phứa	f ɯə 5
phựa	f ɯə 6
phúc	f u k͡p 5
phục	f u k͡p 6
phức	f ɯ k 5
phui	f u j 1
phủi	f u j 4
phun	f u n 1
phún	f u n 5
phùn	f u n 2
phung	f u ŋ͡m 1
phúng	f u ŋ͡m 5
phùng	f u ŋ͡m 2
phưng	f ɯ ŋ 1
phụng	f u ŋ͡m 6
phừng	f ɯ ŋ 2
phước	f ɯə k 5
phướn	f ɯə n 5
phưỡn	f ɯə n 3
phương	f ɯə ŋ 1
phướng	f ɯə ŋ 5
phường	f ɯə ŋ 2
phượng	f ɯə ŋ 6
phượu	f ɯə w 6
phút	f u t 5
phụt	f u t 6
phứt	f ɯ t 5
phựt	f ɯ t 6
phuy	fw ʷi 1
pi	p i 1
pí	p i 5
piêu	p iə w 1
pin	p i n 1
ping	p i ŋ 1
pô	p o 1
pơ	p ɤ 1
pờ	b ɤ 2
pom	p ɔ m 1
pông	p o ŋ͡m 1
pop	p ɔ p 1
pu	p u 1
q	k j u ' 5
qua	kw a 1
quá	kw a 5
quà	kw a 2
quả	kw a 4
quạ	kw a 6
quác	kw a k 5
quấc	kw ɤ̆ k 5
quắc	kw ă k 5
quạc	kw a k 6
quặc	kw ă k 6
quách	kw a tʃ 5
quạch	kw a tʃ 6
quai	kw a j 1
quái	kw a j 5
quài	kw a j 2
quải	kw a j 4
quại	kw a j 6
quăm	kw ă m 1
quắm	kw ă m 5
quằm	kw ă m 2
quẳm	kw ă m 4
quặm	kw ă m 6
quan	kw a n 1
quán	kw a n 5
quàn	kw a n 2
quân	kw ɤ̆ n 1
quăn	kw ă n 1
quấn	kw ɤ̆ n 5
quần	kw ɤ̆ n 2
quắn	kw ă n 5
quằn	kw ă n 2
quẫn	kw ɤ̆ n 3
quản	kw a n 4
quẩn	kw ɤ̆ n 4
quận	kw ɤ̆ n 6
quặn	kw ă n 6
quang	kw a ŋ 1
quáng	kw a ŋ 5
quàng	kw a ŋ 2
quăng	kw ă ŋ 1
quãng	kw a ŋ 3
quầng	kw ɤ̆ ŋ 2
quẫng	kw ɤ̆ ŋ 3
quảng	kw a ŋ 4
quẩng	kw ɤ̆ ŋ 4
quẳng	kw ă ŋ 4
quạng	kw a ŋ 6
quặng	kw ă ŋ 6
quanh	kw ɛ ɲ 1
quánh	kw ɛ ɲ 5
quành	kw ɛ ɲ 2
quạnh	kw ɛ ɲ 6
quao	kw a w 1
quáo	kw a w 5
quào	kw a w 2
quắp	kw ă p 5
quặp	kw ă p 6
quát	kw a t 5
quất	kw ɤ̆ t 5
quắt	kw ă t 5
quạt	kw a t 6
quật	kw ɤ̆ t 6
quặt	kw ă t 6
quau	kw ă w 1
quáu	kw ă w 5
quàu	kw ă w 2
quạu	kw ă w 6
quay	kw ă j 1
quày	kw ă j 2
quây	kw ɤ̆ j 1
quấy	kw ɤ̆ j 5
quầy	kw ɤ̆ j 2
quẫy	kw ɤ̆ j 3
quảy	kw ă j 4
quẩy	kw ɤ̆ j 4
quạy	kw ă j 6
quậy	kw ɤ̆ j 6
que	kw ɛ 1
qué	kw ɛ 5
què	kw ɛ 2
quê	kw e 1
quẽ	kw ɛ 3
quế	kw e 5
quẻ	kw ɛ 4
quệ	kw e 6
quệch	kw e tʃ 6
quen	kw ɛ n 1
quén	kw ɛ n 5
quèn	kw ɛ n 2
quên	kw e n 1
quện	kw e n 6
quềnh	kw e ɲ 2
quệnh	kw e ɲ 6
queo	kw eo 1
quéo	kw eo 5
quèo	kw eo 2
quẹo	kw eo 6
quét	kw ɛ t 5
quết	kw e t 5
quẹt	kw ɛ t 6
quệt	kw e t 6
quếu	kw ɛu 5
quều	kw ɛu 2
qui	kw i 1
quí	kw i 5
quì	kw i 2
quĩ	kw i 3
quỉ	kw i 4
quị	kw i 6
quít	kw i t 5
quịt	kw i t 6
quơ	kw ɤ 1
quớ	kw ɤ 5
quờ	kw ɤ 2
quở	kw ɤ 4
quoàng	kw ʷa ŋ 2
quoạng	kw ʷa ŋ 6
quoắt	kw ʷă t 5
quốc	kw o k͡p 5
quới	kw ɤ j 5
quờn	kw ɤ n 2
quớt	kw ɤ t 5
quuyết	kw ʷiə t 5
quy	kw i 1
quý	kw i 5
quỳ	kw i 2
quỹ	kw i 3
quỷ	kw i 4
quỵ	kw i 6
qúy	kw i 5
qùy	kw i 2
qũy	kw i 3
qụy	kw i 6
quyên	kw iɛ n 1
quyến	kw iɛ n 5
quyền	kw iɛ n 2
quyển	kw iɛ n 4
quyện	kw iɛ n 6
quyết	kw iɛ t 5
quyệt	kw iɛ t 6
quýnh	kw i ɲ 5
quỳnh	kw i ɲ 2
quỷnh	kw i ɲ 4
quýt	kw i t 5
quỵt	kw i t 6
r	a r ' 5
ra	ʐ a 1
rá	ʐ a 5
rà	ʐ a 2
rã	ʐ a 3
rả	ʐ a 4
rạ	ʐ a 6
rác	ʐ a k 5
rắc	ʐ ă k 5
rạc	ʐ a k 6
rặc	ʐ ă k 6
rách	ʐ a tʃ 5
rạch	ʐ a tʃ 6
radio	r e ɪ ' 5   d i ' 5   o ʊ ' 5
rai	ʐ a j 1
rái	ʐ a j 5
rài	ʐ a j 2
rãi	ʐ a j 3
rải	ʐ a j 4
ram	ʐ a m 1
rám	ʐ a m 5
râm	ʐ ɤ̆ m 1
răm	ʐ ă m 1
rấm	ʐ ɤ̆ m 5
rầm	ʐ ɤ̆ m 2
rắm	ʐ ă m 5
rằm	ʐ ă m 2
rẫm	ʐ ɤ̆ m 3
rẩm	ʐ ɤ̆ m 4
rạm	ʐ a m 6
rậm	ʐ ɤ̆ m 6
rặm	ʐ ă m 6
ran	ʐ a n 1
rán	ʐ a n 5
ràn	ʐ a n 2
rân	ʐ ɤ̆ n 1
răn	ʐ ă n 1
rấn	ʐ ɤ̆ n 5
rần	ʐ ɤ̆ n 2
rắn	ʐ ă n 5
rằn	ʐ ă n 2
rạn	ʐ a n 6
rận	ʐ ɤ̆ n 6
rặn	ʐ ă n 6
rang	ʐ a ŋ 1
ráng	ʐ a ŋ 5
ràng	ʐ a ŋ 2
răng	ʐ ă ŋ 1
rằng	ʐ ă ŋ 2
rạng	ʐ a ŋ 6
rặng	ʐ ă ŋ 6
ranh	ʐ ɛ ɲ 1
rành	ʐ ɛ ɲ 2
rãnh	ʐ ɛ ɲ 3
rảnh	ʐ ɛ ɲ 4
rao	ʐ a w 1
ráo	ʐ a w 5
rào	ʐ a w 2
rão	ʐ a w 3
rảo	ʐ a w 4
rạo	ʐ a w 6
ráp	ʐ a p 5
rấp	ʐ ɤ̆ p 5
rắp	ʐ ă p 5
rạp	ʐ a p 6
rập	ʐ ɤ̆ p 6
rát	ʐ a t 5
rất	ʐ ɤ̆ t 5
rắt	ʐ ă t 5
rạt	ʐ a t 6
rật	ʐ ɤ̆ t 6
rặt	ʐ ă t 6
rau	ʐ ă w 1
râu	ʐ ɤ̆ w 1
rầu	ʐ ɤ̆ w 2
ray	ʐ ă j 1
ráy	ʐ ă j 5
rày	ʐ ă j 2
rây	ʐ ɤ̆ j 1
rãy	ʐ ă j 3
rầy	ʐ ɤ̆ j 2
rẫy	ʐ ɤ̆ j 3
rảy	ʐ ă j 4
rẩy	ʐ ɤ̆ j 4
rạy	ʐ ă j 6
re	ʐ ɛ 1
ré	ʐ ɛ 5
rè	ʐ ɛ 2
rê	ʐ e 1
rẽ	ʐ ɛ 3
rế	ʐ e 5
rề	ʐ e 2
rễ	ʐ e 3
rẻ	ʐ ɛ 4
rể	ʐ e 4
rệ	ʐ e 6
real	r i l ' 5
rếch	ʐ e tʃ 5
rệch	ʐ e tʃ 6
rem	ʐ ɛ m 1
rèm	ʐ ɛ m 2
ren	ʐ ɛ n 1
rén	ʐ ɛ n 5
rèn	ʐ ɛ n 2
rên	ʐ e n 1
rến	ʐ e n 5
rền	ʐ e n 2
rện	ʐ e n 6
reng	ʐ ɛ ŋ 1
rẻng	ʐ ɛ ŋ 4
rềnh	ʐ e ɲ 2
rểnh	ʐ e ɲ 4
reo	ʐ eo 1
réo	ʐ eo 5
rèo	ʐ eo 2
rẻo	ʐ eo 4
rẹo	ʐ eo 6
rếp	ʐ e p 5
rệp	ʐ e p 6
rét	ʐ ɛ t 5
rết	ʐ e t 5
rẹt	ʐ ɛ t 6
rệt	ʐ e t 6
rêu	ʐ ɛu 1
rều	ʐ ɛu 2
rệu	ʐ ɛu 6
ri	ʐ i 1
rí	ʐ i 5
rì	ʐ i 2
rĩ	ʐ i 3
rỉ	ʐ i 4
rị	ʐ i 6
ria	ʐ iə 1
rià	ʐ iə 2
rìa	ʐ iə 2
rỉa	ʐ iə 4
rịa	ʐ iə 6
rích	ʐ i tʃ 5
rịch	ʐ i tʃ 6
riềm	ʐ iə m 2
riêng	ʐ iə ŋ 1
riềng	ʐ iə ŋ 2
riếp	ʐ iə p 5
riết	ʐ iə t 5
riệt	ʐ iə t 6
riêu	ʐ iə w 1
riếu	ʐ iə w 5
rim	ʐ i m 1
rin	ʐ i n 1
rịn	ʐ i n 6
rinh	ʐ i ɲ 1
rình	ʐ i ɲ 2
rĩnh	ʐ i ɲ 3
rỉnh	ʐ i ɲ 4
rít	ʐ i t 5
rịt	ʐ i t 6
riu	ʐ i w 1
ríu	ʐ i w 5
rìu	ʐ i w 2
ro	ʐ ɔ 1
ró	ʐ ɔ 5
rò	ʐ ɔ 2
rô	ʐ o 1
rõ	ʐ ɔ 3
rồ	ʐ o 2
rỗ	ʐ o 3
rỏ	ʐ ɔ 4
rơ	ʐ ɤ 1
rổ	ʐ o 4
rọ	ʐ ɔ 6
rớ	ʐ ɤ 5
rờ	ʐ ɤ 2
rỡ	ʐ ɤ 3
rộ	ʐ o 6
rở	ʐ ɤ 4
rợ	ʐ ɤ 6
roa	ʐw ʷa 1
roá	ʐw ʷa 5
robot	r o b o t
róc	ʐ ɔ k͡p 5
rốc	ʐ o k͡p 5
rọc	ʐ ɔ k͡p 6
rộc	ʐ o k͡p 6
rock	r a k ' 5
roi	ʐ ɔ j 1
rói	ʐ ɔ j 5
ròi	ʐ ɔ j 2
rõi	ʐ ɔ j 3
rối	ʐ o j 5
rồi	ʐ o j 2
rỗi	ʐ o j 3
rỏi	ʐ ɔ j 4
rơi	ʐ ɤ j 1
rổi	ʐ o j 4
rọi	ʐ ɔ j 6
rời	ʐ ɤ j 2
rợi	ʐ ɤ j 6
rom	ʐ ɔ m 1
róm	ʐ ɔ m 5
ròm	ʐ ɔ m 2
rôm	ʐ o m 1
rồm	ʐ o m 2
rỏm	ʐ ɔ m 4
rơm	ʐ ɤ m 1
rọm	ʐ ɔ m 6
rớm	ʐ ɤ m 5
rờm	ʐ ɤ m 2
rộm	ʐ o m 6
rởm	ʐ ɤ m 4
rợm	ʐ ɤ m 6
rón	ʐ ɔ n 5
rôn	ʐ o n 1
rốn	ʐ o n 5
rỏn	ʐ ɔ n 4
rơn	ʐ ɤ n 1
rờn	ʐ ɤ n 2
rỡn	ʐ ɤ n 3
rộn	ʐ o n 6
rởn	ʐ ɤ n 4
rợn	ʐ ɤ n 6
rong	ʐ ɔ ŋ͡m 1
róng	ʐ ɔ ŋ͡m 5
ròng	ʐ ɔ ŋ͡m 2
rông	ʐ o ŋ͡m 1
rống	ʐ o ŋ͡m 5
rồng	ʐ o ŋ͡m 2
rỗng	ʐ o ŋ͡m 3
rổng	ʐ o ŋ͡m 4
rộng	ʐ o ŋ͡m 6
rốp	ʐ o p 5
rộp	ʐ o p 6
rợp	ʐ ɤ p 6
rót	ʐ ɔ t 5
rốt	ʐ o t 5
rọt	ʐ ɔ t 6
rớt	ʐ ɤ t 5
rợt	ʐ ɤ t 6
ru	ʐ u 1
rú	ʐ u 5
rù	ʐ u 2
rũ	ʐ u 3
rủ	ʐ u 4
rư	ʐ ɯ 1
rứ	ʐ ɯ 5
rua	ʐ uə 1
rùa	ʐ uə 2
rũa	ʐ uə 3
rủa	ʐ uə 4
rưa	ʐ ɯə 1
rứa	ʐ ɯə 5
rữa	ʐ ɯə 3
rửa	ʐ ɯə 4
rựa	ʐ ɯə 6
rúc	ʐ u k͡p 5
rục	ʐ u k͡p 6
rức	ʐ ɯ k 5
rực	ʐ ɯ k 6
rui	ʐ u j 1
rúi	ʐ u j 5
rủi	ʐ u j 4
rụi	ʐ u j 6
rum	ʐ u m 1
rúm	ʐ u m 5
rùm	ʐ u m 2
run	ʐ u n 1
rún	ʐ u n 5
rùn	ʐ u n 2
rủn	ʐ u n 4
rung	ʐ u ŋ͡m 1
rúng	ʐ u ŋ͡m 5
rùng	ʐ u ŋ͡m 2
rủng	ʐ u ŋ͡m 4
rưng	ʐ ɯ ŋ 1
rụng	ʐ u ŋ͡m 6
rừng	ʐ ɯ ŋ 2
rửng	ʐ ɯ ŋ 4
ruốc	ʐ uə k 5
rước	ʐ ɯə k 5
ruối	ʐ uə j 5
ruồi	ʐ uə j 2
ruổi	ʐ uə j 4
rươi	ʐ ɯə j 1
rưới	ʐ ɯə j 5
rười	ʐ ɯə j 2
rưỡi	ʐ ɯə j 3
rưởi	ʐ ɯə j 4
rượi	ʐ ɯə j 6
ruộm	ʐ uə m 6
rươm	ʐ ɯə m 1
rướm	ʐ ɯə m 5
rườm	ʐ ɯə m 2
rướn	ʐ ɯə n 5
rườn	ʐ ɯə n 2
rượn	ʐ ɯə n 6
ruồng	ʐ uə ŋ 2
ruỗng	ʐ uə ŋ 3
ruộng	ʐ uə ŋ 6
rương	ʐ ɯə ŋ 1
rường	ʐ ɯə ŋ 2
ruột	ʐ uə t 6
rượt	ʐ ɯə t 6
rượu	ʐ ɯə w 6
rúp	ʐ u p 5
rút	ʐ u t 5
rụt	ʐ u t 6
rứt	ʐ ɯ t 5
rỵn	ʐ i n 6
s	ɛ s ' 5
sa	ʂ a 1
sá	ʂ a 5
sà	ʂ a 2
sã	ʂ a 3
sả	ʂ a 4
sạ	ʂ a 6
sác	ʂ a k 5
sắc	ʂ ă k 5
sạc	ʂ a k 6
sặc	ʂ ă k 6
sách	ʂ a tʃ 5
sạch	ʂ a tʃ 6
sai	ʂ a j 1
sái	ʂ a j 5
sài	ʂ a j 2
sãi	ʂ a j 3
sải	ʂ a j 4
sam	ʂ a m 1
sám	ʂ a m 5
sàm	ʂ a m 2
sâm	ʂ ɤ̆ m 1
săm	ʂ ă m 1
sấm	ʂ ɤ̆ m 5
sầm	ʂ ɤ̆ m 2
sắm	ʂ ă m 5
sẫm	ʂ ɤ̆ m 3
sẩm	ʂ ɤ̆ m 4
sạm	ʂ a m 6
sậm	ʂ ɤ̆ m 6
sặm	ʂ ă m 6
san	ʂ a n 1
sán	ʂ a n 5
sàn	ʂ a n 2
sân	ʂ ɤ̆ n 1
săn	ʂ ă n 1
sấn	ʂ ɤ̆ n 5
sần	ʂ ɤ̆ n 2
sắn	ʂ ă n 5
sẵn	ʂ ă n 3
sản	ʂ a n 4
sẩn	ʂ ɤ̆ n 4
sạn	ʂ a n 6
sang	ʂ a ŋ 1
sáng	ʂ a ŋ 5
sàng	ʂ a ŋ 2
săng	ʂ ă ŋ 1
sắng	ʂ ă ŋ 5
sằng	ʂ ă ŋ 2
sảng	ʂ a ŋ 4
sanh	ʂ ɛ ɲ 1
sánh	ʂ ɛ ɲ 5
sành	ʂ ɛ ɲ 2
sảnh	ʂ ɛ ɲ 4
sao	ʂ a w 1
sáo	ʂ a w 5
sào	ʂ a w 2
sảo	ʂ a w 4
sạo	ʂ a w 6
sáp	ʂ a p 5
sấp	ʂ ɤ̆ p 5
sắp	ʂ ă p 5
sạp	ʂ a p 6
sập	ʂ ɤ̆ p 6
sát	ʂ a t 5
sất	ʂ ɤ̆ t 5
sắt	ʂ ă t 5
sạt	ʂ a t 6
sật	ʂ ɤ̆ t 6
sặt	ʂ ă t 6
sau	ʂ ă w 1
sáu	ʂ ă w 5
sâu	ʂ ɤ̆ w 1
sấu	ʂ ɤ̆ w 5
sầu	ʂ ɤ̆ w 2
sậu	ʂ ɤ̆ w 6
say	ʂ ă j 1
sây	ʂ ɤ̆ j 1
sấy	ʂ ɤ̆ j 5
sầy	ʂ ɤ̆ j 2
sảy	ʂ ă j 4
sẩy	ʂ ɤ̆ j 4
sậy	ʂ ɤ̆ j 6
se	ʂ ɛ 1
sè	ʂ ɛ 2
sê	ʂ e 1
sẽ	ʂ ɛ 3
sề	ʂ e 2
sễ	ʂ e 3
sẻ	ʂ ɛ 4
sể	ʂ e 4
sẹ	ʂ ɛ 6
sệ	ʂ e 6
séc	ʂ ɛ k 5
sém	ʂ ɛ m 5
sẹm	ʂ ɛ m 6
sen	ʂ ɛ n 1
sên	ʂ e n 1
sến	ʂ e n 5
sền	ʂ e n 2
sẻn	ʂ ɛ n 4
sênh	ʂ e ɲ 1
sểnh	ʂ e ɲ 4
seo	ʂ eo 1
sèo	ʂ eo 2
sẹo	ʂ eo 6
sếp	ʂ e p 5
sệp	ʂ e p 6
sét	ʂ ɛ t 5
sệt	ʂ e t 6
sêu	ʂ ɛu 1
sếu	ʂ ɛu 5
sex	s ɛ k s ' 5
shop	ʃ a p ' 5
si	ʂ i 1
sí	ʂ i 5
sì	ʂ i 2
sĩ	ʂ i 3
sỉ	ʂ i 4
sị	ʂ i 6
sỉa	ʂ iə 4
sịa	ʂ iə 6
sịch	ʂ i tʃ 6
siểm	ʂ iə m 4
siễn	ʂ iə n 3
siêng	ʂ iə ŋ 1
siểng	ʂ iə ŋ 4
siết	ʂ iə t 5
siêu	ʂ iə w 1
sim	ʂ i m 1
sin	ʂ i n 1
sinh	ʂ i ɲ 1
sính	ʂ i ɲ 5
sình	ʂ i ɲ 2
sỉnh	ʂ i ɲ 4
sít	ʂ i t 5
sịt	ʂ i t 6
siu	ʂ i w 1
slìn	s l ' n
so	ʂ ɔ 1
sò	ʂ ɔ 2
sô	ʂ o 1
số	ʂ o 5
sồ	ʂ o 2
sỗ	ʂ o 3
sỏ	ʂ ɔ 4
sơ	ʂ ɤ 1
sổ	ʂ o 4
sọ	ʂ ɔ 6
sớ	ʂ ɤ 5
sờ	ʂ ɤ 2
sỡ	ʂ ɤ 3
sộ	ʂ o 6
sở	ʂ ɤ 4
sợ	ʂ ɤ 6
soa	ʂw ʷa 1
soà	ʂw ʷa 2
sòa	ʂw ʷa 2
soái	ʂw a j 5
soài	ʂw a j 2
soán	ʂw ʷa n 5
soạn	ʂw ʷa n 6
soạng	ʂw ʷa ŋ 6
soát	ʂw ʷa t 5
soạt	ʂw ʷa t 6
sóc	ʂ ɔ k͡p 5
sốc	ʂ o k͡p 5
sọc	ʂ ɔ k͡p 6
soi	ʂ ɔ j 1
sói	ʂ ɔ j 5
sòi	ʂ ɔ j 2
sôi	ʂ o j 1
sõi	ʂ ɔ j 3
sồi	ʂ o j 2
sỏi	ʂ ɔ j 4
sổi	ʂ o j 4
sới	ʂ ɤ j 5
sởi	ʂ ɤ j 4
sợi	ʂ ɤ j 6
sol	s a l ' 5
sóm	ʂ ɔ m 5
sòm	ʂ ɔ m 2
sơm	ʂ ɤ m 1
sọm	ʂ ɔ m 6
sớm	ʂ ɤ m 5
sờm	ʂ ɤ m 2
son	ʂ ɔ n 1
són	ʂ ɔ n 5
sòn	ʂ ɔ n 2
sồn	ʂ o n 2
sơn	ʂ ɤ n 1
sớn	ʂ ɤ n 5
sờn	ʂ ɤ n 2
sởn	ʂ ɤ n 4
song	ʂ ɔ ŋ͡m 1
sóng	ʂ ɔ ŋ͡m 5
sòng	ʂ ɔ ŋ͡m 2
sông	ʂ o ŋ͡m 1
sõng	ʂ ɔ ŋ͡m 3
sống	ʂ o ŋ͡m 5
sồng	ʂ o ŋ͡m 2
sổng	ʂ o ŋ͡m 4
soóc	ʂ ɔ k͡p 5
sóoc	ʂ ɔ k͡p 5
soong	ʂ ɔ ŋ͡m 1
sốp	ʂ o p 5
sộp	ʂ o p 6
sót	ʂ ɔ t 5
sốt	ʂ o t 5
sọt	ʂ ɔ t 6
sớt	ʂ ɤ t 5
sột	ʂ o t 6
stand	s t æ n d ' 5
stick	s t ɪ k ' 5
stress	s t r ɛ s ' 5
studio	s t u ' 5   d i ' 1   o ʊ ' 5
su	ʂ u 1
sú	ʂ u 5
sù	ʂ u 2
sư	ʂ ɯ 1
sụ	ʂ u 6
sứ	ʂ ɯ 5
sử	ʂ ɯ 4
sự	ʂ ɯ 6
sủa	ʂ uə 4
sưa	ʂ ɯə 1
sụa	ʂ uə 6
sứa	ʂ ɯə 5
sữa	ʂ ɯə 3
sửa	ʂ ɯə 4
suất	ʂw ʷɤ̆ t 5
súc	ʂ u k͡p 5
sục	ʂ u k͡p 6
sức	ʂ ɯ k 5
sực	ʂ ɯ k 6
suê	ʂw ʷe 1
sui	ʂ u j 1
sùi	ʂ u j 2
sủi	ʂ u j 4
sum	ʂ u m 1
sùm	ʂ u m 2
sụm	ʂ u m 6
sun	ʂ u n 1
sún	ʂ u n 5
sụn	ʂ u n 6
