0	x o ŋ͡m 1
cổi	k o j 4
cời	k ɤ j 2
cỡi	k ɤ j 3
cội	k o j 6
cởi	k ɤ j 4
com	k ɔ m 1
còm	k ɔ m 2
côm	k o m 1
cốm	k o m 5
cồm	k o m 2
cỏm	k ɔ m 4
cơm	k ɤ m 1
cọm	k ɔ m 6
cớm	k ɤ m 5
cỡm	k ɤ m 3
cộm	k o m 6
con	k ɔ n 1
cón	k ɔ n 5
còn	k ɔ n 2
côn	k o n 1
cốn	k o n 5
cồn	k o n 2
cỏn	k ɔ n 4
cơn	k ɤ n 1
cổn	k o n 4
cọn	k ɔ n 6
cớn	k ɤ n 5
cờn	k ɤ n 2
cỡn	k ɤ n 3
cộn	k o n 6
cợn	k ɤ n 6
cong	k ɔ ŋ͡m 1
cóng	k ɔ ŋ͡m 5
còng	k ɔ ŋ͡m 2
công	k o ŋ͡m 1
cõng	k ɔ ŋ͡m 3
cống	k o ŋ͡m 5
cồng	k o ŋ͡m 2
cỏng	k ɔ ŋ͡m 4
cổng	k o ŋ͡m 4
cọng	k ɔ ŋ͡m 6
cộng	k o ŋ͡m 6
coóc	k ɔ k͡p 5
coong	k ɔ ŋ͡m 1
cóp	k ɔ p 5
cốp	k o p 5
cọp	k ɔ p 6
cộp	k o p 6
cót	k ɔ t 5
cốt	k o t 5
cọt	k ɔ t 6
cớt	k ɤ t 5
cột	k o t 6
cợt	k ɤ t 6
crin	c r i n
cu	k u 1
cú	k u 5
cù	k u 2
cũ	k u 3
củ	k u 4
cư	k ɯ 1
cụ	k u 6
cứ	k ɯ 5
cừ	k ɯ 2
cữ	k ɯ 3
cử	k ɯ 4
cự	k ɯ 6
cua	k uə 1
cúa	k uə 5
cùa	k uə 2
của	k uə 4
cưa	k ɯə 1
cứa	k ɯə 5
cửa	k ɯə 4
cựa	k ɯə 6
cúc	k u k͡p 5
cục	k u k͡p 6
cức	k ɯ k 5
cực	k ɯ k 6
cui	k u j 1
cúi	k u j 5
cùi	k u j 2
cũi	k u j 3
củi	k u j 4
cụi	k u j 6
cửi	k ɯ j 4
cum	k u m 1
cúm	k u m 5
cùm	k u m 2
cụm	k u m 6
cun	k u n 1
cún	k u n 5
cùn	k u n 2
cũn	k u n 3
củn	k u n 4
cung	k u ŋ͡m 1
cúng	k u ŋ͡m 5
cùng	k u ŋ͡m 2
cũng	k u ŋ͡m 3
củng	k u ŋ͡m 4
cưng	k ɯ ŋ 1
cụng	k u ŋ͡m 6
cứng	k ɯ ŋ 5
cửng	k ɯ ŋ 4
cuốc	k uə k 5
cuộc	k uə k 6
cước	k ɯə k 5
cược	k ɯə k 6
cuối	k uə j 5
cuồi	k uə j 2
cuội	k uə j 6
cưới	k ɯə j 5
cười	k ɯə j 2
cưỡi	k ɯə j 3
cuỗm	k uə m 3
cườm	k ɯə m 2
cuốn	k uə n 5
cuồn	k uə n 2
cuộn	k uə n 6
cuông	k uə ŋ 1
cuống	k uə ŋ 5
cuồng	k uə ŋ 2
cuộng	k uə ŋ 6
cương	k ɯə ŋ 1
cường	k ɯə ŋ 2
cưỡng	k ɯə ŋ 3
cướp	k ɯə p 5
cúp	k u p 5
cụp	k u p 6
cút	k u t 5
cụt	k u t 6
cứt	k ɯ t 5
cưu	k ɯ w 1
cứu	k ɯ w 5
cừu	k ɯ w 2
cữu	k ɯ w 3
cửu	k ɯ w 4
cựu	k ɯ w 6
d	d i ' 5
đ	'
da	z a 1
dá	z a 5
dà	z a 2
dã	z a 3
dả	z a 4
dạ	z a 6
đa	d a 1
đá	d a 5
đà	d a 2
đã	d a 3
đả	d a 4
dác	z a k 5
dạc	z a k 6
dặc	z ă k 6
đác	d a k 5
đắc	d ă k 5
đạc	d a k 6
đặc	d ă k 6
đách	d a tʃ 5
đạch	d a tʃ 6
dai	z a j 1
dái	z a j 5
dài	z a j 2
dãi	z a j 3
dải	z a j 4
dại	z a j 6
đai	d a j 1
đái	d a j 5
đài	d a j 2
đãi	d a j 3
đại	d a j 6
dam	z a m 1
dám	z a m 5
dâm	z ɤ̆ m 1
dăm	z ă m 1
dấm	z ɤ̆ m 5
dầm	z ɤ̆ m 2
dằm	z ă m 2
dẫm	z ɤ̆ m 3
dạm	z a m 6
dậm	z ɤ̆ m 6
dặm	z ă m 6
đam	d a m 1
đám	d a m 5
đàm	d a m 2
đâm	d ɤ̆ m 1
đăm	d ă m 1
đấm	d ɤ̆ m 5
đầm	d ɤ̆ m 2
đắm	d ă m 5
đằm	d ă m 2
đẫm	d ɤ̆ m 3
đẵm	d ă m 3
đảm	d a m 4
đạm	d a m 6
đậm	d ɤ̆ m 6
dan	z a n 1
dán	z a n 5
dàn	z a n 2
dân	z ɤ̆ n 1
dăn	z ă n 1
dãn	z a n 3
dấn	z ɤ̆ n 5
dần	z ɤ̆ n 2
dằn	z ă n 2
dẫn	z ɤ̆ n 3
dẩn	z ɤ̆ n 4
dạn	z a n 6
dận	z ɤ̆ n 6
dặn	z ă n 6
đan	d a n 1
đán	d a n 5
đàn	d a n 2
đần	d ɤ̆ n 2
đắn	d ă n 5
đằn	d ă n 2
đẫn	d ɤ̆ n 3
